year	obs	ncell	obs_n2k	ncell_n2k
1966	1	1	1	1
1967	0	0	0	0
1968	0	0	0	0
1969	0	0	0	0
1970	0	0	0	0
1971	0	0	0	0
1972	0	0	0	0
1973	0	0	0	0
1974	0	0	0	0
1975	0	0	0	0
1976	0	0	0	0
1977	0	0	0	0
1978	0	0	0	0
1979	0	0	0	0
1980	0	0	0	0
1981	0	0	0	0
1982	0	0	0	0
1983	0	0	0	0
1984	0	0	0	0
1985	0	0	0	0
1986	0	0	0	0
1987	0	0	0	0
1988	0	0	0	0
1989	0	0	0	0
1990	0	0	0	0
1991	0	0	0	0
1992	0	0	0	0
1993	0	0	0	0
1994	0	0	0	0
1995	0	0	0	0
1996	0	0	0	0
1997	3	2	2	1
1998	0	0	0	0
1999	0	0	0	0
2000	0	0	0	0
2001	4	4	0	0
2002	5	5	2	2
2003	1	1	0	0
2004	5	5	1	1
2005	3	3	0	0
2006	17	12	0	0
2007	0	0	0	0
2008	4	4	3	3
2009	3	3	2	2
2010	1	1	1	1
2011	3	3	0	0
2012	8	7	2	2
2013	7	7	4	4
2014	11	10	3	3
2015	11	11	4	4
2016	4	3	3	2
2017	20	17	13	10
2018	3	3	2	2
2019	0	0	0	0
